Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
VLY,2011-03-31,Q1,36585000,1307524000,14363839000,167819000,0.11192146377427871,-2.4462823810548118
A,2011-04-30,Q2,393000000,3953000000,8649000000,2647000000,0.3976726536807488,-15.622516370741321
PDCO,2011-04-30,FY,225385000,1560540000,2564968000,3415670000,0.14442756994373743,-4.01016146586934
ILMN,2011-04-03,Q1,24137000,1064226000,2123149000,266717000,0.09072133174720406,-25.238029619223077
GLW,2011-03-31,Q1,748000000,20304000000,26660000000,1923000000,0.14736012608353033,-31.99224283221036
OLN,2011-03-31,Q1,133700000,949900000,2391300000,436000000,0.5630066322770818,-4.755672552179757
TAP,2011-03-26,Q1,82900000,8009400000,12869300000,690400000,0.04140135340974355,-2.614090210746393
RMD,2011-03-31,Q3,168514000,1663390000,1962159000,901255000,0.4052302827358587,3.299999237060547
ALTX,2011-03-31,Q2,-157000,3403000,3465000,62000,-0.1845430502497796,-25.000002660921634
FICO,2011-03-31,Q2,23754000,498277000,1152426000,308755000,0.19068911468921904,37.17178036419316
CMP,2011-03-31,Q1,56500000,406100000,1132600000,390600000,0.5565131740950505,-23.23318294787475
IP,2011-03-31,Q1,347000000,7320000000,25595000000,6387000000,0.18961748633879782,16.500997426141133
FCN,2011-03-31,Q1,21798000,1005046000,2247264000,361816000,0.08675423811447436,-1.5914442504861674
ESE,2011-03-31,Q2,24040000,579412000,994326000,326684000,0.1659613539243233,-3.0930544114797285
JEF,2011-02-28,Q1,102045000,2577703000,40428150000,966676000,0.15835028317847324,-12.315124614218554
MCD,2011-03-31,Q1,1209000000,14453600000,32080200000,4152700000,0.3345879227320529,28.321729647694216
BECN,2011-03-31,Q2,3875000,482697000,1089991000,701114000,0.03211124162777063,27.552523137201916
MWA,2011-03-31,Q2,-25800000,404800000,1525200000,598900000,-0.2549407114624506,-25.892858948482534
BKD,2011-03-31,Q1,-12305000,1052759000,4431268000,569440000,-0.04675334050813149,-34.499999455043245
MTD,2011-03-31,Q1,46827000,788977000,2298846000,387074000,0.23740616012887575,6.406979228174964
OTEX,2011-03-31,Q3,94611000,1004576000,1921993000,747850000,0.3767201286911095,-3.4178451196175708
TTEC,2011-03-31,Q1,11371000,437282000,710490000,280979000,0.10401525788850216,-17.595454290014047
RHI,2011-03-31,Q1,26705000,839959000,1290595000,880869000,0.1271728739140839,-1.4705907102274338
ITRI,2011-03-31,Q1,27120000,1554918000,2849716000,563691000,0.06976573684271453,-19.365699098375597
NI,2011-03-31,Q1,205200000,5014300000,19478800000,2232200000,0.16369184133378537,26.433781805005207
NVDA,2011-05-01,Q1,135219000,3447808000,4736744000,962039000,0.15687532484407485,-34.21186090526847
LLY,2011-03-31,Q1,1055900000,13934200000,31695300000,5839200000,0.3031103328501098,13.61956543903621
BDC,2011-04-03,Q1,21890000,687230000,1778789000,461628000,0.1274100373965048,-0.39411855088416076
HBAN,2011-03-31,Q1,126446000,5038599000,52948509000,501877000,0.10038187202434645,-3.6144544569876715
HST,2011-03-25,Q1,-60000000,6383000000,12493000000,903000000,-0.03759987466708444,-8.52624731560321
IVZ,2011-03-31,Q1,99300000,8333600000,21138600000,1027300000,0.047662474800806376,2.2300458009935378
ESS,2011-03-31,Q1,12507000,1164361000,3866686000,113773000,0.042966056059933304,20.895164243636593
HUBB,2011-03-31,Q1,50700000,1458200000,2742100000,658100000,0.13907557262378276,9.334091224488306
HTLD,2011-03-31,Q1,14879000,347252000,535342000,127692000,0.1713913814751247,-15.906503819264264
JLL,2011-03-31,Q1,1599000,1611873000,3347630000,687864000,0.003968054555166567,-16.843789635237062
TDC,2011-03-31,Q1,65000000,1274000000,2359000000,235000000,0.20408163265306123,34.33924967539335
BOH,2011-03-31,Q1,42360000,996225000,12962304000,112423000,0.17008205977565308,1.2337937188480348
HLX,2011-03-31,Q1,26635000,1279684000,3577069000,122748000,0.08325492856048837,3.9534788817703386
MAR,2011-03-25,Q1,101000000,1386000000,8760000000,2778000000,0.29148629148629146,6.269043358808127
SCHW,2011-03-31,Q1,243000000,6487000000,94883000000,1207000000,0.14983813781408972,-20.854132477470174
